Atomic number,Symbol,Element,Major edges,Minor edges
1,H,Hydrogen,14,
2,He,Helium,25,
3,Li,Lithium,55,
4,Be,Beryllium,111,
5,B,Boron,188,
6,C,Carbon,284,
7,N,Nitrogen,402,
8,O,Oxygen,532,24
9,F,Fluorine,685,31
10,Ne,Neon,"867, 18",45
11,Na,Sodium,"1072, 31",63
12,Mg,Magnesium,"1305, 51",89
13,Al,Aluminum,"1560, 73",118
14,Si,Silicon,"1839, 99",149
15,P,Phosphorus,"2146, 132",189
16,S,Sulfur,"2472, 165",229
17,Cl,Chlorine,"2822, 202, 200","270, 18"
18,Ar,Argon,"3203, 247, 245, 12","320, 25"
19,K,Potassium,"3607, 296, 294, 18","377, 34"
20,Ca,Calcium,"4038, 350, 346, 25","438, 44"
21,Sc,Scandium,"4493, 407, 402, 32","501, 54"
22,Ti,Titanium,"4966, 462, 456, 35","564, 60"
23,V,Vanadium,"5465, 521, 513, 38","628, 67"
24,Cr,Chromium,"5989, 584, 575, 43","695, 74"
25,Mn,Manganese,"6539, 651, 640, 49","769, 84"
26,Fe,Iron,"7112, 721, 708, 54","846, 93"
27,Co,Cobalt,"7709, 794, 779, 60","926, 101"
28,Ni,Nickel,"8333, 872, 855, 68","1008, 112"
29,Cu,Copper,"8979, 951, 931, 74","1097, 120"
30,Zn,Zinc,"9659, 1043, 1020","1194, 136, 87"
31,Ga,Gallium,"10367, 1142, 1115","1298, 158, 107, 103, 17"
32,Ge,Germanium,"11103, 1248, 1217, 29","1414, 180, 128, 121"
33,As,Arsenic,"11867, 1359, 1323, 41","1527, 204, 146, 141"
34,Se,Selenium,"12658, 1476, 1436, 57","1654, 232, 168, 162"
35,Br,Bromine,"13474, 1596, 1550, 70, 69","1782, 257, 189, 182, 27"
36,Kr,Krypton,"14326, 1727, 1675, 89, 11","1921, 287, 223, 214, 24"
37,Rb,Rubidium,"15200, 1864, 1804, 112, 110, 15, 14","2065, 322, 247, 239, 29"
38,Sr,Strontium,"16105, 2007, 1940, 135, 133, 20","2216, 358, 280, 269, 38"
39,Y,Yttrium,"17038, 2156, 2080, 160, 157, 26","2373, 394, 312, 300, 45"
40,Zr,Zirconium,"17998, 2307, 2222, 182, 180, 29","2532, 430, 344, 331, 51"
41,Nb,Niobium,"18986, 2465, 2371, 207, 205, 34","2698, 468, 378, 363, 58"
42,Mo,Molybdenum,"20000, 2625, 2520, 230, 227, 35","2866, 505, 410, 392, 62"
43,Tc,Technetium,"21044, 2793, 2677, 256, 253, 39","3043, 544, 445, 425, 68"
44,Ru,Ruthenium,"22117, 2967, 2838, 284, 279, 43","3224, 585, 483, 407, 75"
45,Rh,Rhodium,"23220, 3146, 3004, 312, 307, 48","3412, 627, 521, 496, 81"
46,Pd,Palladium,"24350, 3330, 3173, 340, 335, 51","3604, 670, 559, 532, 86"
47,Ag,Silver,"25514, 3524, 3351, 373, 367","3806, 718, 602, 571, 95, 63, 56"
48,Cd,Cadmium,"26711, 3727, 3538, 411, 404","4018, 770, 651, 617, 108, 67"
49,In,Indium,"27940, 3938, 3730, 451, 443","4238, 826, 702, 664, 122, 77"
50,Sn,Tin,"29200, 4156, 3929, 493, 485, 24","4465, 884, 756, 714, 137, 89"
51,Sb,Antimony,"30491, 4380, 4132, 537, 528, 31","4698, 944, 812, 766, 152, 98"
52,Te,Tellurium,"31814, 4341, 583, 572, 40","4939, 4612, 1006, 870, 819, 168, 110"
53,I,Iodine,"33169, 4557, 631, 619, 50","5188, 4852, 1072, 931, 875, 186, 123"
54,Xe,Xenon,"34561, 4782, 684, 672, 63","5453, 5104, 1143, 999, 937, 208, 147"
55,Cs,Cesium,"5012, 740, 726, 79, 77, 13, 11","5715, 5359, 1217, 1065, 998, 231, 172, 162, 23"
56,Ba,Barium,"5247, 796, 781, 93, 90, 17, 15","5989, 5624, 1293, 1137, 1062, 253, 180, 180, 39"
57,La,Lanthanum,"849, 832, 99, 14","6266, 5891, 1361, 1204, 1123, 270, 206, 191, 32"
58,Ce,Cerium,"5723, 901, 883, 110, 20","6549, 6164, 1435, 1273, 1185, 290, 233, 207, 38"
59,Pr,Praseodymium,"5964, 951, 931, 113, 22","6835, 6440, 1511, 1337, 1242, 305, 236, 218, 37"
60,Nd,Neodymium,"5964, 1000, 978, 118, 21","6835, 5964, 1575, 1403, 1297, 315, 225, 225, 38"
61,Pm,Promethium,"6459, 1052, 1027, 120, 121, 24","7428, 7013, 1646, 1471, 1357, 330, 242"
62,Sm,Samarium,"6716, 1106, 1080, 129, 21","7737, 7312, 1723, 1541, 1420, 346, 266, 247, 37"
63,Eu,Europium,"6977, 1161, 1131, 133, 22","8052, 7617, 1800, 1614, 1481, 360, 284, 257, 32"
64,Gd,Gadolinium,"7243, 1217, 1185, 141, 20","8376, 7930, 1881, 1688, 1544, 376, 289, 271, 36"
65,Tb,Terbium,"7514, 1275, 1241, 147, 25","8708, 8252, 1968, 1768, 1611, 398, 310, 285, 39"
66,Dy,Dysprosium,"1333, 1295, 154, 26, 7790","9046, 8581, 2047, 1842, 1676, 416, 332, 293, 63"
67,Ho,Holmium,"8071, 1392, 1351, 161, 20","9394, 8918, 2128, 1923, 1741, 436, 344, 307, 51"
68,Er,Erbium,"8358, 1453, 1409, 177, 168, 29","9751, 9264, 2207, 2006, 1812, 449, 366, 320, 60"
69,Tm,Thulium,"8648, 1515, 1468, 180, 32","10116, 9617, 2307, 2090, 1885, 472, 386, 337, 53"
70,Yb,Ytterbium,"8944, 1576, 1528, 198, 185, 23","10486, 9978, 2398, 2173, 1950, 487, 397, 344, 54"
71,Lu,Lutetium,"9244, 1639, 1589, 195, 195, 28","10870, 10349, 2491, 2264, 2024, 506, 410, 359, 57"
72,Hf,Hafnium,"9561, 1716, 1662, 38, 31","11271, 10739, 2601, 2365, 2108, 538, 437, 380, 224, 214, 65"
73,Ta,Tantalum,"9881, 1793, 1735, 45, 36","11682, 11136, 2708, 2469, 2194, 566, 465, 405, 241, 229, 71"
74,W,Tungsten,"10207, 1872, 1809, 47, 36","12100, 11544, 2820, 2575, 2281, 595, 492, 425, 259, 245, 37, 34, 77"
75,Re,Rhenium,"10535, 1949, 1883, 46, 35","12527, 11959, 2932, 2682, 2367, 625, 518, 444, 274, 260, 41, 83"
76,Os,Osmium,"10871, 2031, 1960, 58, 45","12968, 12385, 3049, 2792, 2457, 654, 547, 468, 289, 273, 46, 84"
77,Ir,Iridium,"11215, 2116, 2040, 63, 51","13419, 12824, 3174, 2909, 2551, 690, 577, 494, 311, 295, 63, 61, 95"
78,Pt,Platinum,"11564, 2202, 2122","13880, 13273, 3296, 3027, 2645, 722, 609, 519, 331, 313, 74, 71, 102, 65, 52"
79,Au,Gold,"11919, 2291, 2206","14353, 13734, 3425, 3148, 2743, 759, 644, 545, 352, 334, 86, 83, 108, 72, 54"
80,Hg,Mercury,"12284, 2385, 2295","14839, 14209, 3562, 3279, 2847, 800, 677, 571, 378, 360, 102, 99, 120, 81, 58"
81,Tl,Thallium,"2485, 2389, 15, 13","15347, 14698, 12658, 3704, 3416, 2957, 846, 721, 609, 407, 386, 123, 119, 136, 100, 75"
82,Pb,Lead,"13035, 2586, 2484, 22, 19","15861, 15200, 3851, 3554, 3066, 894, 764, 645, 435, 413, 143, 138, 147, 105, 86"
83,Bi,Bismuth,"13419, 2688, 2580, 27, 24","16388, 15711, 3999, 3696, 3177, 938, 805, 679, 464, 440, 162, 157, 159, 117, 93"
84,Po,Polonium,"13814, 2798, 2683, 31","16939, 16244, 4149, 3854, 3302, 995, 851, 705, 500, 473"
85,At,Astatine,"14214, 2908, 2787","17493, 16785, 4317, 4008, 3426, 1042, 886, 740, 533"
86,Rn,Radon,"14619, 3022, 2892","18049, 17337, 4482, 4159, 3538, 1097, 929, 768, 567"
87,Fr,Francium,"15031, 3136, 3000","18639, 17907, 4652, 4327, 3663, 1153, 980, 810, 603, 577"
88,Ra,Radium,"15444, 3248, 3105, 299, 67","19237, 18484, 4822, 4490, 3792, 1208, 1058, 879, 636, 603, 254, 153"
89,Ac,Actinium,"15871, 3370, 3219","19840, 19083, 5002, 4656, 3909, 1269, 1080, 890, 675"
90,Th,Thorium,"16300, 3491, 3332, 344, 335, 94, 88","20472, 19693, 5182, 4830, 4046, 1330, 1168, 967, 714, 676, 290, 229, 182"
91,Pa,Protactinium,"16733, 3611, 3442, 371, 360, 94","21105, 20314, 5367, 5001, 4174, 1387, 1224, 1007, 743, 708, 310, 223"
92,U,Uranium,"17166, 3728, 3552, 391, 381, 105, 96","21757, 20948, 5548, 5182, 4303, 1441, 1273, 1045, 780, 738, 324, 259, 195"
93,Np,Neptunium,"17610, 3850, 3666, 415, 404, 109, 101","22427, 21601, 5723, 5366, 4435, 1501, 1328, 1087, 816, 770, 283, 206"
